Thread Count: 10 | current esta: -0.06666666666666667 | current thread value: -0.06666666666666667
Thread Count: 10 | current esta: 0.9333333333333333 | current thread value: 1.0
Thread Count: 10 | current esta: 0.7904761904761906 | current thread value: -0.14285714285714285
Thread Count: 10 | current esta: 0.8673992673992674 | current thread value: 0.07692307692307693
Thread Count: 10 | current esta: 0.9785103785103786 | current thread value: 0.1111111111111111
Thread Count: 10 | current esta: 1.0373339079221433 | current thread value: 0.058823529411764705
Thread Count: 10 | current esta: 1.2373339079221433 | current thread value: 0.2
Thread Count: 10 | current esta: 1.1464248170130524 | current thread value: -0.09090909090909091
Thread Count: 10 | current esta: 1.093793238065684 | current thread value: -0.05263157894736842
Thread Count: 10 | current esta: 0.7604599047323508 | current thread value: -0.3333333333333333
Thread Count: 20 | current esta: 0.058823529411764705 | current thread value: 0.058823529411764705
Thread Count: 20 | current esta: 0.0988235294117647 | current thread value: 0.04
Thread Count: 20 | current esta: 0.12585055643879173 | current thread value: 0.02702702702702703
Thread Count: 20 | current esta: 0.08237229556922651 | current thread value: -0.043478260869565216
Thread Count: 20 | current esta: 0.12999134318827413 | current thread value: 0.047619047619047616
Thread Count: 20 | current esta: 0.20691442011135106 | current thread value: 0.07692307692307693
Thread Count: 20 | current esta: 0.23721745041438136 | current thread value: 0.030303030303030304
Thread Count: 20 | current esta: 0.1705507837477147 | current thread value: -0.06666666666666667
Thread Count: 20 | current esta: 0.2816618948588258 | current thread value: 0.1111111111111111
Thread Count: 20 | current esta: 0.13880475200168296 | current thread value: -0.14285714285714285
Thread Count: 20 | current esta: 0.11316372636065733 | current thread value: -0.02564102564102564
Thread Count: 20 | current esta: -0.22016960697267599 | current thread value: -0.3333333333333333
Thread Count: 20 | current esta: -0.3110786978817669 | current thread value: -0.09090909090909091
Thread Count: 20 | current esta: -0.27659593926107723 | current thread value: 0.034482758620689655
Thread Count: 20 | current esta: 0.7234040607389227 | current thread value: 1.0
Thread Count: 20 | current esta: 0.6911459962227937 | current thread value: -0.03225806451612903
Thread Count: 20 | current esta: 0.6625745676513651 | current thread value: -0.02857142857142857
Thread Count: 20 | current esta: 0.6099429887039967 | current thread value: -0.05263157894736842
Thread Count: 20 | current esta: 0.5729059516669597 | current thread value: -0.037037037037037035
Thread Count: 20 | current esta: 0.7729059516669596 | current thread value: 0.2
Thread Count: 30 | current esta: -0.1333333333333333 | current thread value: -0.3333333333333333
Thread Count: 30 | current esta: -0.10894308943089429 | current thread value: 0.024390243902439025
Thread Count: 30 | current esta: -0.10894308943089429 | current thread value: 0.2
Thread Count: 30 | current esta: 0.0021680216802168195 | current thread value: 0.1111111111111111
Thread Count: 30 | current esta: -0.017439821457038082 | current thread value: -0.0196078431372549
Thread Count: 30 | current esta: -0.108348912366129 | current thread value: -0.09090909090909091
Thread Count: 30 | current esta: -0.13398993800715464 | current thread value: -0.02564102564102564
Thread Count: 30 | current esta: -0.16624800252328367 | current thread value: -0.03225806451612903
Thread Count: 30 | current esta: -0.30910514538042655 | current thread value: -0.14285714285714285
Thread Count: 30 | current esta: -0.36173672432779497 | current thread value: -0.05263157894736842
Thread Count: 30 | current esta: -0.3272539657071053 | current thread value: 0.034482758620689655
Thread Count: 30 | current esta: -0.36429100274414233 | current thread value: -0.037037037037037035
Thread Count: 30 | current esta: -0.36429100274414233 | current thread value: 0.047619047619047616
Thread Count: 30 | current esta: -0.321660617256614 | current thread value: 0.02040816326530612
Thread Count: 30 | current esta: -0.34206878052192013 | current thread value: 0.022222222222222223
Thread Count: 30 | current esta: -0.3027926927283121 | current thread value: 0.018867924528301886
Thread Count: 30 | current esta: -0.2852488330791893 | current thread value: 0.017543859649122806
Thread Count: 30 | current esta: -0.2452488330791893 | current thread value: 0.04
Thread Count: 30 | current esta: -0.20460712184924273 | current thread value: 0.058823529411764705
Thread Count: 30 | current esta: -0.2278629358027311 | current thread value: -0.023255813953488372
Thread Count: 30 | current esta: -0.2564343643741597 | current thread value: -0.01818181818181818
Thread Count: 30 | current esta: -0.2564343643741597 | current thread value: -0.02857142857142857
Thread Count: 30 | current esta: -0.17951128745108275 | current thread value: 0.07692307692307693
Thread Count: 30 | current esta: -0.15248426042405572 | current thread value: 0.02702702702702703
Thread Count: 30 | current esta: 0.8475157395759443 | current thread value: 1.0
Thread Count: 30 | current esta: 0.7808490729092776 | current thread value: -0.06666666666666667
Thread Count: 30 | current esta: 0.7373708120397124 | current thread value: -0.043478260869565216
Thread Count: 30 | current esta: 0.7676738423427427 | current thread value: 0.030303030303030304
Thread Count: 30 | current esta: 0.7463972465980618 | current thread value: -0.02127659574468085
Thread Count: 30 | current esta: 0.729448094055689 | current thread value: -0.01694915254237288
