Thread Count: 10 | current esta: -0.3333333333333333 | current thread value: -0.3333333333333333
Thread Count: 10 | current esta: -0.2564102564102564 | current thread value: 0.07692307692307693
Thread Count: 10 | current esta: -0.39926739926739924 | current thread value: -0.14285714285714285
Thread Count: 10 | current esta: -0.4901764901764901 | current thread value: -0.09090909090909091
Thread Count: 10 | current esta: 0.5098235098235099 | current thread value: 1.0
Thread Count: 10 | current esta: 0.6209346209346209 | current thread value: 0.1111111111111111
Thread Count: 10 | current esta: 0.5542679542679543 | current thread value: -0.06666666666666667
Thread Count: 10 | current esta: 0.5016363753205859 | current thread value: -0.05263157894736842
Thread Count: 10 | current esta: 0.7016363753205859 | current thread value: 0.2
Thread Count: 10 | current esta: 0.7604599047323506 | current thread value: 0.058823529411764705
Thread Count: 20 | current esta: -0.3333333333333333 | current thread value: -0.3333333333333333
Thread Count: 20 | current esta: -0.47619047619047616 | current thread value: -0.14285714285714285
Thread Count: 20 | current esta: -0.39926739926739924 | current thread value: 0.07692307692307693
Thread Count: 20 | current esta: -0.35926739926739926 | current thread value: 0.04
Thread Count: 20 | current esta: -0.39152546378352826 | current thread value: -0.03225806451612903
Thread Count: 20 | current esta: -0.361222433480498 | current thread value: 0.030303030303030304
Thread Count: 20 | current esta: -0.38979386205192657 | current thread value: -0.02857142857142857
Thread Count: 20 | current esta: -0.4154348876929522 | current thread value: -0.02564102564102564
Thread Count: 20 | current esta: -0.21543488769295221 | current thread value: 0.2
Thread Count: 20 | current esta: -0.25247192472998925 | current thread value: -0.037037037037037035
Thread Count: 20 | current esta: -0.3191385913966559 | current thread value: -0.06666666666666667
Thread Count: 20 | current esta: -0.41004768230574684 | current thread value: -0.09090909090909091
Thread Count: 20 | current esta: -0.3512241528939821 | current thread value: 0.058823529411764705
Thread Count: 20 | current esta: -0.3947024137635473 | current thread value: -0.043478260869565216
Thread Count: 20 | current esta: -0.44733399271091573 | current thread value: -0.05263157894736842
Thread Count: 20 | current esta: -0.3362228815998046 | current thread value: 0.1111111111111111
Thread Count: 20 | current esta: 0.6637771184001954 | current thread value: 1.0
Thread Count: 20 | current esta: 0.698259877020885 | current thread value: 0.034482758620689655
Thread Count: 20 | current esta: 0.725286904047912 | current thread value: 0.02702702702702703
Thread Count: 20 | current esta: 0.7729059516669596 | current thread value: 0.047619047619047616
Thread Count: 30 | current esta: 0.2 | current thread value: 0.2
Thread Count: 30 | current esta: 0.1473684210526316 | current thread value: -0.05263157894736842
Thread Count: 30 | current esta: 0.1717586649550706 | current thread value: 0.024390243902439025
Thread Count: 30 | current esta: 0.15480951241269772 | current thread value: -0.01694915254237288
Thread Count: 30 | current esta: 0.1291684867716721 | current thread value: -0.02564102564102564
Thread Count: 30 | current esta: -0.013688656085470763 | current thread value: -0.14285714285714285
Thread Count: 30 | current esta: -0.05822106578363999 | current thread value: -0.02127659574468085
Thread Count: 30 | current esta: -0.05822106578363999 | current thread value: -0.023255813953488372
Thread Count: 30 | current esta: -0.05822106578363999 | current thread value: 0.030303030303030304
Thread Count: 30 | current esta: -0.05822106578363999 | current thread value: 0.02702702702702703
Thread Count: 30 | current esta: -0.08679249435506856 | current thread value: -0.02857142857142857
Thread Count: 30 | current esta: 0.9132075056449315 | current thread value: 1.0
Thread Count: 30 | current esta: 0.9532075056449315 | current thread value: 0.04
Thread Count: 30 | current esta: 0.9736156689102377 | current thread value: 0.02040816326530612
Thread Count: 30 | current esta: 0.9540078257729827 | current thread value: 0.022222222222222223
Thread Count: 30 | current esta: 0.9540078257729827 | current thread value: -0.0196078431372549
Thread Count: 30 | current esta: 1.060450402803795 | current thread value: 0.047619047619047616
Thread Count: 30 | current esta: 0.9695413118947042 | current thread value: -0.09090909090909091
Thread Count: 30 | current esta: 1.065332313346083 | current thread value: 0.018867924528301886
Thread Count: 30 | current esta: 1.065332313346083 | current thread value: 0.07692307692307693
Thread Count: 30 | current esta: 1.065332313346083 | current thread value: 0.058823529411764705
Thread Count: 30 | current esta: 1.0218540524765178 | current thread value: -0.043478260869565216
Thread Count: 30 | current esta: 0.9848170154394809 | current thread value: -0.037037037037037035
Thread Count: 30 | current esta: 1.0192997740601706 | current thread value: 0.034482758620689655
Thread Count: 30 | current esta: 1.1304108851712817 | current thread value: 0.1111111111111111
Thread Count: 30 | current esta: 1.1122290669894637 | current thread value: -0.01818181818181818
Thread Count: 30 | current esta: 1.045562400322797 | current thread value: -0.06666666666666667
Thread Count: 30 | current esta: 1.013304335806668 | current thread value: -0.03225806451612903
Thread Count: 30 | current esta: 0.6799710024733348 | current thread value: -0.3333333333333333
Thread Count: 30 | current esta: 0.6975148621224576 | current thread value: 0.017543859649122806
